id,year_month,province,city_or_area,weather_type,event_name,report_date,source_org,source_title,source_url,news_summary,impact_notes
HD001,2023-07,福建,晋江及福建东南部,台风,台风“杜苏芮”登陆福建晋江,2023-07-28,中国气象局,“杜苏芮”于28日9时55分前后登陆福建晋江沿海,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202307/t20230728_5676965.html,2023年7月28日台风“杜苏芮”在福建晋江沿海登陆，登陆时中心附近最大风力15级、中心最低气压945百帕，福建大部出现大暴雨，局地特大暴雨。,适合作为台风样本，兼具强风和强降雨特征。
HD002,2024-02,湖北,武汉及湖北中西部,暴雪,湖北低温雨雪冰冻与暴雪过程,2024-02-06,中国气象局,湖北：启动应急气象服务 守护春运安全,https://www.cma.gov.cn/2011xwzx/2011xgzdt/202402/t20240206_6064282.html,2024年2月1日至6日湖北出现持续性低温雨雪冰冻天气，中西部积雪较深，武汉市气象台于2月4日发布暴雪黄色预警。,可作为暴雪和春运影响场景样本。
HD003,2021-07,河南,郑州及全省中北部,暴雨,河南极端暴雨过程,2021-07-21,中国气象局,河南气象部门提前预报预警加强叫应发布 应对极端暴雨,https://www.cma.gov.cn/2011xzt/2021zt/20210716/2014072109/202111/t20211119_4255792.html,河南省气象部门在7月15日即提示17日至19日北部和中东部有暴雨大暴雨局地特大暴雨，郑州自19日夜间起连续发布暴雨橙色和红色预警。,适合作为极端暴雨预警和城市内涝研究样本。
HD004,2022-08,重庆,重庆西南部和北部,高温,2022年首个高温红色预警下的重庆高温,2022-08-12,中国气象局,中央气象台发布今年首个高温红色预警,https://www.cma.gov.cn/zfxxgk/gknr/tfsjyd/tfsjydqk/202208/t20220812_5032214.html,2022年8月12日中央气象台发布当年首个高温红色预警，重庆等地出现40至42摄氏度高温，局地超过42摄氏度。,适合作为持续性高温热害样本。
HD005,2023-04,北京,延庆及北京市,沙尘暴,2023年4月北京沙尘天气过程,2023-04-11,中国气象局,今年第8次沙尘天气过程影响多地 专家解读沙尘强度成因和影响,https://www.cma.gov.cn/ztbd/2023zt/20230324/2023032404/202304/t20230411_5432742.html,2023年4月10日北京出现明显沙尘天气，北京市气象台将沙尘蓝色预警升级为黄色预警，北京延庆等地出现沙尘暴。,适合作为北方春季沙尘暴样本。
HD006,2023-08,河北,保定、雄安、邢台等地,洪涝,杜苏芮影响下河北洪涝过程,2023-08-01,中国气象局,河北：直面极端暴雨全力筑牢防线,https://www.cma.gov.cn/ztbd/2023zt/20230324/2023032405/202303240502/202308/t20230801_5686784.html,受台风“杜苏芮”影响，2023年7月29日至8月1日河北出现持续性强降水，部分地区大暴雨、局地特大暴雨，并引发洪涝和城市内涝风险。,适合作为洪涝灾害样本，包含暴雨到洪涝的演化关系。
HD007,2022-08,重庆,重庆市多个区县,干旱,重庆启动抗旱Ⅲ级应急响应,2022-08-15,新华网,重庆启动抗旱Ⅲ级应急响应 多举措抗旱保水,https://www.news.cn/2022-08/15/c_1128917611.htm,2022年8月重庆遭遇连晴高温少雨天气，8月15日启动干旱灾害橙色预警和抗旱Ⅲ级应急响应，已有60余万人因旱受灾。,适合作为高温少雨诱发干旱的样本。
HD008,2024-04,江西,抚州东乡及全省多地,大风,江西强对流大风过程,2024-04-17,中国气象局,江西：启动四级应急响应 应对暴雨强对流天气,https://www.cma.gov.cn/ztbd/2024zt/20240418/2014072109/202404/t20240417_6204084.html,2024年4月15日夜起江西出现暴雨和强对流天气，51个县区250站出现8级及以上大风，其中18个县区52站出现10至12级大风。,适合作为雷暴大风或强对流大风样本。
HD009,2024-02,湖南,湘西湘北等地,暴雪,湖南春节前低温雨雪冰冻过程,2024-02-05,中国气象局,湖南：大范围强雨雪来袭 气象服务暖人心,https://www.cma.gov.cn/2011xwzx/2011xgzdt/202402/t20240205_6059683.html,2024年2月1日晚起湖南出现大范围低温雨雪冰冻天气，官方称为2019年以来最强冰冻过程，湘西湘北重点防范暴雪和冰冻影响。,可作为南方低温雨雪冰冻和暴雪复合样本。
HD010,2022-08,江西,江西全省,干旱,中央气象台首个气象干旱预警中的江西旱情,2022-08-18,新华网,中央气象台发布今年首个气象干旱预警,https://www.news.cn/2022-08/18/c_1128926863.htm,2022年8月18日中央气象台发布当年首个气象干旱预警，监测显示江西存在中度及以上气象干旱，局地特旱。,适合作为区域性气象干旱样本。
HD011,2022-08,四川,四川东部及盆地地区,高温,四川持续极端高温热浪,2022-08-12,中国气象局,中央气象台发布今年首个高温红色预警,https://www.cma.gov.cn/zfxxgk/gknr/tfsjyd/tfsjydqk/202208/t20220812_5032214.html,2022年8月四川东部及盆地地区处于持续性高温过程之中，部分地区40摄氏度以上，成为全国高温核心影响区域之一。,适合作为高温热浪和农业热害样本。
HD012,2023-04,内蒙古,呼和浩特、巴彦淖尔、阿拉善等地,沙尘暴,2023年4月内蒙古沙尘暴过程,2023-04-11,中国气象局,今年第8次沙尘天气过程影响多地 专家解读沙尘强度成因和影响,https://www.cma.gov.cn/ztbd/2023zt/20230324/2023032404/202304/t20230411_5432742.html,2023年4月10日至11日内蒙古呼和浩特、巴彦淖尔、阿拉善等地出现沙尘暴，局地最低能见度不足50米。,适合作为沙尘源区样本，可与北京受传输影响样本配对分析。
